Dish Name,Category,Serving Size,Calories (kcal),Carbs (g),Protein (g),Fat (g),Notes
Chopsuey (Budget Bowl),Lunch/Dinner,1 cup (200g),187,18,8,6,Stir-fried mixed vegetables
Pakbet Tagalog (Small Serving),Lunch/Dinner,1 cup (200g),142,15,6,5,Veg medley with bagoong
Pakbet Tagalog (Large Serving),Lunch/Dinner,1 cup (200g),237,25,10,8,Veg medley with bagoong
Pakbet Tagalog (Spicy Variant),Lunch/Dinner,1 cup (200g),190,20,8,7,Veg medley with bagoong; spicy
Pakbet Tagalog (Low-Sodium),Lunch/Dinner,1 cup (200g),190,20,8,7,Veg medley with bagoong; reduced salt
Pakbet Tagalog (With Brown Rice),Lunch/Dinner,1 cup (200g),199,27,8,7,Veg medley with bagoong; whole grain option
Pakbet Tagalog (Fiesta Portion),Lunch/Dinner,1 cup (200g),266,28,11,9,Veg medley with bagoong
Pakbet Tagalog (Budget Bowl),Lunch/Dinner,1 cup (200g),161,17,6,5,Veg medley with bagoong
Isaw Manok (Small Serving),Snack/Street,3 sticks (90g),180,4,13,12,Grilled chicken intestines
Isaw Manok (Large Serving),Snack/Street,3 sticks (90g),300,7,22,20,Grilled chicken intestines
Isaw Manok (Spicy Variant),Snack/Street,3 sticks (90g),240,6,18,16,Grilled chicken intestines; spicy
Isaw Manok (Low-Sodium),Snack/Street,3 sticks (90g),240,6,18,16,Grilled chicken intestines; reduced salt
Isaw Manok (With Brown Rice),Snack/Street,3 sticks (90g),252,12,18,16,Grilled chicken intestines; whole grain option
Isaw Manok (Fiesta Portion),Snack/Street,3 sticks (90g),336,8,25,22,Grilled chicken intestines
Isaw Manok (Budget Bowl),Snack/Street,3 sticks (90g),204,5,15,13,Grilled chicken intestines
Isaw Baboy (Small Serving),Snack/Street,3 sticks (90g),195,4,12,13,Grilled pork intestines
Isaw Baboy (Large Serving),Snack/Street,3 sticks (90g),325,7,20,22,Grilled pork intestines
Isaw Baboy (Spicy Variant),Snack/Street,3 sticks (90g),260,6,16,18,Grilled pork intestines; spicy
Isaw Baboy (Low-Sodium),Snack/Street,3 sticks (90g),260,6,16,18,Grilled pork intestines; reduced salt
Isaw Baboy (With Brown Rice),Snack/Street,3 sticks (90g),273,12,16,18,Grilled pork intestines; whole grain option
Isaw Baboy (Fiesta Portion),Snack/Street,3 sticks (90g),364,8,22,25,Grilled pork intestines
Isaw Baboy (Budget Bowl),Snack/Street,3 sticks (90g),221,5,13,15,Grilled pork intestines
Betamax (Dugo) (Small Serving),Snack/Street,3 pcs (90g),157,6,10,9,Grilled pork blood
Betamax (Dugo) (Large Serving),Snack/Street,3 pcs (90g),262,11,17,15,Grilled pork blood
Betamax (Dugo) (Spicy Variant),Snack/Street,3 pcs (90g),210,9,14,12,Grilled pork blood; spicy
Betamax (Dugo) (Low-Sodium),Snack/Street,3 pcs (90g),210,9,14,12,Grilled pork blood; reduced salt
Betamax (Dugo) (With Brown Rice),Snack/Street,3 pcs (90g),220,15,14,12,Grilled pork blood; whole grain option
Betamax (Dugo) (Fiesta Portion),Snack/Street,3 pcs (90g),294,12,19,16,Grilled pork blood
Betamax (Dugo) (Budget Bowl),Snack/Street,3 pcs (90g),178,7,11,10,Grilled pork blood
Adidas (Chicken Feet) (Small Serving),Snack/Street,3 pcs (120g),165,4,12,9,Grilled chicken feet
Adidas (Chicken Feet) (Large Serving),Snack/Street,3 pcs (120g),275,7,20,15,Grilled chicken feet
Adidas (Chicken Feet) (Spicy Variant),Snack/Street,3 pcs (120g),220,6,16,12,Grilled chicken feet; spicy
Adidas (Chicken Feet) (Low-Sodium),Snack/Street,3 pcs (120g),220,6,16,12,Grilled chicken feet; reduced salt
Adidas (Chicken Feet) (With Brown Rice),Snack/Street,3 pcs (120g),231,12,16,12,Grilled chicken feet; whole grain option
Adidas (Chicken Feet) (Fiesta Portion),Snack/Street,3 pcs (120g),308,8,22,16,Grilled chicken feet
Adidas (Chicken Feet) (Budget Bowl),Snack/Street,3 pcs (120g),187,5,13,10,Grilled chicken feet
Helmet (Chicken Head) (Small Serving),Snack/Street,2 pcs (120g),180,3,13,10,Grilled chicken head
Helmet (Chicken Head) (Large Serving),Snack/Street,2 pcs (120g),300,5,22,17,Grilled chicken head
Helmet (Chicken Head) (Spicy Variant),Snack/Street,2 pcs (120g),240,4,18,14,Grilled chicken head; spicy
Helmet (Chicken Head) (Low-Sodium),Snack/Street,2 pcs (120g),240,4,18,14,Grilled chicken head; reduced salt
Helmet (Chicken Head) (With Brown Rice),Snack/Street,2 pcs (120g),252,10,18,14,Grilled chicken head; whole grain option
Helmet (Chicken Head) (Fiesta Portion),Snack/Street,2 pcs (120g),336,5,25,19,Grilled chicken head
Helmet (Chicken Head) (Budget Bowl),Snack/Street,2 pcs (120g),204,3,15,11,Grilled chicken head
Kwek-Kwek (Small Serving),Snack/Street,6 pcs (150g),315,31,13,15,Quail eggs in orange batter
Kwek-Kwek (Large Serving),Snack/Street,6 pcs (150g),525,52,22,25,Quail eggs in orange batter
Kwek-Kwek (Spicy Variant),Snack/Street,6 pcs (150g),420,42,18,20,Quail eggs in orange batter; spicy
Kwek-Kwek (Low-Sodium),Snack/Street,6 pcs (150g),420,42,18,20,Quail eggs in orange batter; reduced salt
Kwek-Kwek (With Brown Rice),Snack/Street,6 pcs (150g),441,50,18,21,Quail eggs in orange batter; whole grain option
Kwek-Kwek (Fiesta Portion),Snack/Street,6 pcs (150g),588,58,25,28,Quail eggs in orange batter
Kwek-Kwek (Budget Bowl),Snack/Street,6 pcs (150g),357,35,15,17,Quail eggs in orange batter
Tokneneng (Small Serving),Snack/Street,3 pcs (180g),337,30,16,18,Chicken egg battered & fried
Tokneneng (Large Serving),Snack/Street,3 pcs (180g),562,50,27,30,Chicken egg battered & fried
Tokneneng (Spicy Variant),Snack/Street,3 pcs (180g),450,40,22,24,Chicken egg battered & fried; spicy
Tokneneng (Low-Sodium),Snack/Street,3 pcs (180g),450,40,22,24,Chicken egg battered & fried; reduced salt
Tokneneng (With Brown Rice),Snack/Street,3 pcs (180g),472,48,23,25,Chicken egg battered & fried; whole grain option
Tokneneng (Fiesta Portion),Snack/Street,3 pcs (180g),630,56,30,33,Chicken egg battered & fried
Tokneneng (Budget Bowl),Snack/Street,3 pcs (180g),382,34,18,20,Chicken egg battered & fried
Fishball (Small Serving),Snack/Street,10 pcs (120g),195,21,6,7,With sweet or spicy sauce
Fishball (Large Serving),Snack/Street,10 pcs (120g),325,35,10,12,With sweet or spicy sauce
Fishball (Spicy Variant),Snack/Street,10 pcs (120g),260,28,8,10,With sweet or spicy sauce; spicy
Fishball (Low-Sodium),Snack/Street,10 pcs (120g),260,28,8,10,With sweet or spicy sauce; reduced salt
Fishball (With Brown Rice),Snack/Street,10 pcs (120g),273,35,8,10,With sweet or spicy sauce; whole grain option
Fishball (Fiesta Portion),Snack/Street,10 pcs (120g),364,39,11,14,With sweet or spicy sauce
Fishball (Budget Bowl),Snack/Street,10 pcs (120g),221,23,6,8,With sweet or spicy sauce
Kikiam (Small Serving),Snack/Street,6 pcs (150g),240,22,9,10,Street variant
Kikiam (Large Serving),Snack/Street,6 pcs (150g),400,37,15,17,Street variant
Kikiam (Spicy Variant),Snack/Street,6 pcs (150g),320,30,12,14,Street variant; spicy
Kikiam (Low-Sodium),Snack/Street,6 pcs (150g),320,30,12,14,Street variant; reduced salt
Kikiam (With Brown Rice),Snack/Street,6 pcs (150g),336,37,12,14,Street variant; whole grain option
Kikiam (Fiesta Portion),Snack/Street,6 pcs (150g),448,42,16,19,Street variant
Kikiam (Budget Bowl),Snack/Street,6 pcs (150g),272,25,10,11,Street variant
Squidball (Small Serving),Snack/Street,8 pcs (140g),225,21,7,10,Popular street snack
Squidball (Large Serving),Snack/Street,8 pcs (140g),375,35,12,17,Popular street snack
Squidball (Spicy Variant),Snack/Street,8 pcs (140g),300,28,10,14,Popular street snack; spicy
Squidball (Low-Sodium),Snack/Street,8 pcs (140g),300,28,10,14,Popular street snack; reduced salt
Squidball (With Brown Rice),Snack/Street,8 pcs (140g),315,35,10,14,Popular street snack; whole grain option
Squidball (Fiesta Portion),Snack/Street,8 pcs (140g),420,39,14,19,Popular street snack
Squidball (Budget Bowl),Snack/Street,8 pcs (140g),255,23,8,11,Popular street snack
Calamares (Fried Squid) (Small Serving),Snack/Street,1 plate (180g),315,22,16,16,Fried battered squid
Calamares (Fried Squid) (Large Serving),Snack/Street,1 plate (180g),525,37,27,27,Fried battered squid
Calamares (Fried Squid) (Spicy Variant),Snack/Street,1 plate (180g),420,30,22,22,Fried battered squid; spicy
Calamares (Fried Squid) (Low-Sodium),Snack/Street,1 plate (180g),420,30,22,22,Fried battered squid; reduced salt
Calamares (Fried Squid) (With Brown Rice),Snack/Street,1 plate (180g),441,37,23,23,Fried battered squid; whole grain option
Calamares (Fried Squid) (Fiesta Portion),Snack/Street,1 plate (180g),588,42,30,30,Fried battered squid
Calamares (Fried Squid) (Budget Bowl),Snack/Street,1 plate (180g),357,25,18,18,Fried battered squid
Balut (Fertilized Duck Egg) (Small Serving),Snack/Street,1 egg (70g),141,1,9,10,Street delicacy
Balut (Fertilized Duck Egg) (Large Serving),Snack/Street,1 egg (70g),235,2,16,17,Street delicacy
Balut (Fertilized Duck Egg) (Spicy Variant),Snack/Street,1 egg (70g),188,2,13,14,Street delicacy; spicy
Balut (Fertilized Duck Egg) (Low-Sodium),Snack/Street,1 egg (70g),188,2,13,14,Street delicacy; reduced salt
Balut (Fertilized Duck Egg) (With Brown Rice),Snack/Street,1 egg (70g),197,8,13,14,Street delicacy; whole grain option
Balut (Fertilized Duck Egg) (Fiesta Portion),Snack/Street,1 egg (70g),263,2,18,19,Street delicacy
Balut (Fertilized Duck Egg) (Budget Bowl),Snack/Street,1 egg (70g),159,1,11,11,Street delicacy
Penoy (Unfertilized Duck Egg) (Small Serving),Snack/Street,1 egg (60g),120,1,9,9,Boiled duck egg
Penoy (Unfertilized Duck Egg) (Large Serving),Snack/Street,1 egg (60g),200,2,15,15,Boiled duck egg
Penoy (Unfertilized Duck Egg) (Spicy Variant),Snack/Street,1 egg (60g),160,2,12,12,Boiled duck egg; spicy
Penoy (Unfertilized Duck Egg) (Low-Sodium),Snack/Street,1 egg (60g),160,2,12,12,Boiled duck egg; reduced salt
Penoy (Unfertilized Duck Egg) (With Brown Rice),Snack/Street,1 egg (60g),168,8,12,12,Boiled duck egg; whole grain option
Penoy (Unfertilized Duck Egg) (Fiesta Portion),Snack/Street,1 egg (60g),224,2,16,16,Boiled duck egg
Penoy (Unfertilized Duck Egg) (Budget Bowl),Snack/Street,1 egg (60g),136,1,10,10,Boiled duck egg
Ensaymada (Small Serving),Snack/Dessert,1 piece (80g),210,26,4,9,Buttery brioche with cheese
Ensaymada (Large Serving),Snack/Dessert,1 piece (80g),350,43,7,15,Buttery brioche with cheese
Ensaymada (Spicy Variant),Snack/Dessert,1 piece (80g),280,35,6,12,Buttery brioche with cheese; spicy
Ensaymada (Low-Sodium),Snack/Dessert,1 piece (80g),280,35,6,12,Buttery brioche with cheese; reduced salt
Ensaymada (With Brown Rice),Snack/Dessert,1 piece (80g),294,42,6,12,Buttery brioche with cheese; whole grain option
Ensaymada (Fiesta Portion),Snack/Dessert,1 piece (80g),392,49,8,16,Buttery brioche with cheese
Ensaymada (Budget Bowl),Snack/Dessert,1 piece (80g),238,29,5,10,Buttery brioche with cheese
Spanish Bread (Small Serving),Snack,1 piece (60g),150,22,3,4,Sweet filled bread
Spanish Bread (Large Serving),Snack,1 piece (60g),250,37,5,7,Sweet filled bread
Spanish Bread (Spicy Variant),Snack,1 piece (60g),200,30,4,6,Sweet filled bread; spicy
Spanish Bread (Low-Sodium),Snack,1 piece (60g),200,30,4,6,Sweet filled bread; reduced salt
Spanish Bread (With Brown Rice),Snack,1 piece (60g),210,37,4,6,Sweet filled bread; whole grain option
Spanish Bread (Fiesta Portion),Snack,1 piece (60g),280,42,5,8,Sweet filled bread
Spanish Bread (Budget Bowl),Snack,1 piece (60g),170,25,3,5,Sweet filled bread
Monay (Small Serving),Snack,1 piece (80g),165,30,4,2,Dense bread roll
Monay (Large Serving),Snack,1 piece (80g),275,50,7,3,Dense bread roll
Monay (Spicy Variant),Snack,1 piece (80g),220,40,6,3,Dense bread roll; spicy
Monay (Low-Sodium),Snack,1 piece (80g),220,40,6,3,Dense bread roll; reduced salt
Monay (With Brown Rice),Snack,1 piece (80g),231,48,6,3,Dense bread roll; whole grain option
Monay (Fiesta Portion),Snack,1 piece (80g),308,56,8,4,Dense bread roll
Monay (Budget Bowl),Snack,1 piece (80g),187,34,5,2,Dense bread roll
Hopia (Mongo) (Small Serving),Snack/Dessert,1 piece (50g),157,21,3,6,Flaky pastry with mung bean
Hopia (Mongo) (Large Serving),Snack/Dessert,1 piece (50g),262,35,5,10,Flaky pastry with mung bean
Hopia (Mongo) (Spicy Variant),Snack/Dessert,1 piece (50g),210,28,4,8,Flaky pastry with mung bean; spicy
Hopia (Mongo) (Low-Sodium),Snack/Dessert,1 piece (50g),210,28,4,8,Flaky pastry with mung bean; reduced salt
Hopia (Mongo) (With Brown Rice),Snack/Dessert,1 piece (50g),220,35,4,8,Flaky pastry with mung bean; whole grain option
Hopia (Mongo) (Fiesta Portion),Snack/Dessert,1 piece (50g),294,39,5,11,Flaky pastry with mung bean
Hopia (Mongo) (Budget Bowl),Snack/Dessert,1 piece (50g),178,23,3,6,Flaky pastry with mung bean
Bibingka (Small Serving),Snack/Dessert,1 slice (100g),165,33,3,2,Rice cake
Bibingka (Large Serving),Snack/Dessert,1 slice (100g),275,56,5,3,Rice cake
Bibingka (Spicy Variant),Snack/Dessert,1 slice (100g),220,45,4,3,Rice cake; spicy
Bibingka (Low-Sodium),Snack/Dessert,1 slice (100g),220,45,4,3,Rice cake; reduced salt
Bibingka (With Brown Rice),Snack/Dessert,1 slice (100g),231,53,4,3,Rice cake; whole grain option
Bibingka (Fiesta Portion),Snack/Dessert,1 slice (100g),308,62,5,4,Rice cake
Bibingka (Budget Bowl),Snack/Dessert,1 slice (100g),187,38,3,2,Rice cake
Puto (Small Serving),Snack/Dessert,1 piece (40g),67,15,1,0,Steamed rice cake
Puto (Large Serving),Snack/Dessert,1 piece (40g),112,25,2,1,Steamed rice cake
Puto (Spicy Variant),Snack/Dessert,1 piece (40g),90,20,2,1,Steamed rice cake; spicy
Puto (Low-Sodium),Snack/Dessert,1 piece (40g),90,20,2,1,Steamed rice cake; reduced salt
Puto (With Brown Rice),Snack/Dessert,1 piece (40g),94,27,2,1,Steamed rice cake; whole grain option
Puto (Fiesta Portion),Snack/Dessert,1 piece (40g),125,28,2,1,Steamed rice cake
Puto (Budget Bowl),Snack/Dessert,1 piece (40g),76,17,1,0,Steamed rice cake
Kutsinta (Small Serving),Snack/Dessert,1 piece (40g),60,11,0,0,Sticky rice cake
Kutsinta (Large Serving),Snack/Dessert,1 piece (40g),87,18,1,0,Sticky rice cake
Kutsinta (Spicy Variant),Snack/Dessert,1 piece (40g),70,15,1,0,Sticky rice cake; spicy
Kutsinta (Low-Sodium),Snack/Dessert,1 piece (40g),70,15,1,0,Sticky rice cake; reduced salt
Kutsinta (With Brown Rice),Snack/Dessert,1 piece (40g),73,21,1,0,Sticky rice cake; whole grain option
Kutsinta (Fiesta Portion),Snack/Dessert,1 piece (40g),98,21,1,0,Sticky rice cake
Kutsinta (Budget Bowl),Snack/Dessert,1 piece (40g),60,12,0,0,Sticky rice cake
Biko (Small Serving),Snack/Dessert,1 slice (120g),240,45,3,6,Sticky rice with coconut & sugar
Biko (Large Serving),Snack/Dessert,1 slice (120g),400,75,5,10,Sticky rice with coconut & sugar
Biko (Spicy Variant),Snack/Dessert,1 slice (120g),320,60,4,8,Sticky rice with coconut & sugar; spicy
Biko (Low-Sodium),Snack/Dessert,1 slice (120g),320,60,4,8,Sticky rice with coconut & sugar; reduced salt
Biko (With Brown Rice),Snack/Dessert,1 slice (120g),336,69,4,8,Sticky rice with coconut & sugar; whole grain option
Biko (Fiesta Portion),Snack/Dessert,1 slice (120g),448,84,5,11,Sticky rice with coconut & sugar
Biko (Budget Bowl),Snack/Dessert,1 slice (120g),272,51,3,6,Sticky rice with coconut & sugar
Sapin-Sapin (Small Serving),Snack/Dessert,1 slice (100g),187,41,2,3,Layered sticky rice dessert
Sapin-Sapin (Large Serving),Snack/Dessert,1 slice (100g),312,68,3,6,Layered sticky rice dessert
Sapin-Sapin (Spicy Variant),Snack/Dessert,1 slice (100g),250,55,3,5,Layered sticky rice dessert; spicy
Sapin-Sapin (Low-Sodium),Snack/Dessert,1 slice (100g),250,55,3,5,Layered sticky rice dessert; reduced salt
Sapin-Sapin (With Brown Rice),Snack/Dessert,1 slice (100g),262,63,3,5,Layered sticky rice dessert; whole grain option
Sapin-Sapin (Fiesta Portion),Snack/Dessert,1 slice (100g),350,77,4,7,Layered sticky rice dessert
Sapin-Sapin (Budget Bowl),Snack/Dessert,1 slice (100g),212,46,2,4,Layered sticky rice dessert
Maja Blanca (Small Serving),Snack/Dessert,1 slice (120g),210,30,3,7,Coconut milk pudding
Maja Blanca (Large Serving),Snack/Dessert,1 slice (120g),350,50,5,12,Coconut milk pudding
Maja Blanca (Spicy Variant),Snack/Dessert,1 slice (120g),280,40,4,10,Coconut milk pudding; spicy
Maja Blanca (Low-Sodium),Snack/Dessert,1 slice (120g),280,40,4,10,Coconut milk pudding; reduced salt
Maja Blanca (With Brown Rice),Snack/Dessert,1 slice (120g),294,48,4,10,Coconut milk pudding; whole grain option
Maja Blanca (Fiesta Portion),Snack/Dessert,1 slice (120g),392,56,5,14,Coconut milk pudding
Maja Blanca (Budget Bowl),Snack/Dessert,1 slice (120g),238,34,3,8,Coconut milk pudding
Palitaw (Small Serving),Snack/Dessert,1 piece (50g),90,18,1,1,Coated with sugar & coconut
Palitaw (Large Serving),Snack/Dessert,1 piece (50g),150,31,2,2,Coated with sugar & coconut
Palitaw (Spicy Variant),Snack/Dessert,1 piece (50g),120,25,2,2,Coated with sugar & coconut; spicy
Palitaw (Low-Sodium),Snack/Dessert,1 piece (50g),120,25,2,2,Coated with sugar & coconut; reduced salt
Palitaw (With Brown Rice),Snack/Dessert,1 piece (50g),126,32,2,2,Coated with sugar & coconut; whole grain option
Palitaw (Fiesta Portion),Snack/Dessert,1 piece (50g),168,35,2,2,Coated with sugar & coconut
Palitaw (Budget Bowl),Snack/Dessert,1 piece (50g),102,21,1,1,Coated with sugar & coconut
Suman Malagkit (Small Serving),Snack/Dessert,1 piece (80g),150,31,2,1,Sticky rice roll
Suman Malagkit (Large Serving),Snack/Dessert,1 piece (80g),250,52,3,2,Sticky rice roll
Suman Malagkit (Spicy Variant),Snack/Dessert,1 piece (80g),200,42,3,2,Sticky rice roll; spicy
Suman Malagkit (Low-Sodium),Snack/Dessert,1 piece (80g),200,42,3,2,Sticky rice roll; reduced salt
Suman Malagkit (With Brown Rice),Snack/Dessert,1 piece (80g),210,50,3,2,Sticky rice roll; whole grain option
Suman Malagkit (Fiesta Portion),Snack/Dessert,1 piece (80g),280,58,4,2,Sticky rice roll
Suman Malagkit (Budget Bowl),Snack/Dessert,1 piece (80g),170,35,2,1,Sticky rice roll
Cassava Cake (Small Serving),Snack/Dessert,1 slice (120g),240,37,3,7,Baked cassava dessert
Cassava Cake (Large Serving),Snack/Dessert,1 slice (120g),400,62,5,12,Baked cassava dessert
Cassava Cake (Spicy Variant),Snack/Dessert,1 slice (120g),320,50,4,10,Baked cassava dessert; spicy
Cassava Cake (Low-Sodium),Snack/Dessert,1 slice (120g),320,50,4,10,Baked cassava dessert; reduced salt
Cassava Cake (With Brown Rice),Snack/Dessert,1 slice (120g),336,58,4,10,Baked cassava dessert; whole grain option
Cassava Cake (Fiesta Portion),Snack/Dessert,1 slice (120g),448,70,5,14,Baked cassava dessert
Cassava Cake (Budget Bowl),Snack/Dessert,1 slice (120g),272,42,3,8,Baked cassava dessert
Ube Halaya (Small Serving),Dessert,1 slice (100g),195,37,2,3,Purple yam jam
Ube Halaya (Large Serving),Dessert,1 slice (100g),325,62,3,6,Purple yam jam
Ube Halaya (Spicy Variant),Dessert,1 slice (100g),260,50,3,5,Purple yam jam; spicy
Ube Halaya (Low-Sodium),Dessert,1 slice (100g),260,50,3,5,Purple yam jam; reduced salt
Ube Halaya (With Brown Rice),Dessert,1 slice (100g),273,58,3,5,Purple yam jam; whole grain option
Ube Halaya (Fiesta Portion),Dessert,1 slice (100g),364,70,4,7,Purple yam jam
Ube Halaya (Budget Bowl),Dessert,1 slice (100g),221,42,2,4,Purple yam jam
Leche Flan (Small Serving),Dessert,1 slice (80g),225,37,5,7,Rich custard dessert
Leche Flan (Large Serving),Dessert,1 slice (80g),375,62,8,12,Rich custard dessert
Leche Flan (Spicy Variant),Dessert,1 slice (80g),300,50,7,10,Rich custard dessert; spicy
Leche Flan (Low-Sodium),Dessert,1 slice (80g),300,50,7,10,Rich custard dessert; reduced salt
Leche Flan (With Brown Rice),Dessert,1 slice (80g),315,58,7,10,Rich custard dessert; whole grain option
Leche Flan (Fiesta Portion),Dessert,1 slice (80g),420,70,9,14,Rich custard dessert
Leche Flan (Budget Bowl),Dessert,1 slice (80g),255,42,5,8,Rich custard dessert
Halo-Halo (Small Serving),Dessert,1 glass,262,56,4,3,Shaved ice dessert
Halo-Halo (Large Serving),Dessert,1 glass,437,93,7,6,Shaved ice dessert
Halo-Halo (Spicy Variant),Dessert,1 glass,350,75,6,5,Shaved ice dessert; spicy
Halo-Halo (Low-Sodium),Dessert,1 glass,350,75,6,5,Shaved ice dessert; reduced salt
Halo-Halo (With Brown Rice),Dessert,1 glass,367,84,6,5,Shaved ice dessert; whole grain option
Halo-Halo (Fiesta Portion),Dessert,1 glass,489,105,8,7,Shaved ice dessert
Halo-Halo (Budget Bowl),Dessert,1 glass,297,63,5,4,Shaved ice dessert
Mais con Yelo (Small Serving),Dessert,1 glass,210,46,3,2,Sweet corn with milk & ice
Mais con Yelo (Large Serving),Dessert,1 glass,350,77,5,3,Sweet corn with milk & ice
Mais con Yelo (Spicy Variant),Dessert,1 glass,280,62,4,3,Sweet corn with milk & ice; spicy
Mais con Yelo (Low-Sodium),Dessert,1 glass,280,62,4,3,Sweet corn with milk & ice; reduced salt
Mais con Yelo (With Brown Rice),Dessert,1 glass,294,71,4,3,Sweet corn with milk & ice; whole grain option
Mais con Yelo (Fiesta Portion),Dessert,1 glass,392,86,5,4,Sweet corn with milk & ice
Mais con Yelo (Budget Bowl),Dessert,1 glass,238,52,3,2,Sweet corn with milk & ice
Saba con Yelo (Small Serving),Dessert,1 glass,225,48,2,2,Caramelized banana with milk & ice
Saba con Yelo (Large Serving),Dessert,1 glass,375,81,3,3,Caramelized banana with milk & ice
Saba con Yelo (Spicy Variant),Dessert,1 glass,300,65,3,3,Caramelized banana with milk & ice; spicy
Saba con Yelo (Low-Sodium),Dessert,1 glass,300,65,3,3,Caramelized banana with milk & ice; reduced salt
Saba con Yelo (With Brown Rice),Dessert,1 glass,315,74,3,3,Caramelized banana with milk & ice; whole grain option
Saba con Yelo (Fiesta Portion),Dessert,1 glass,420,91,4,4,Caramelized banana with milk & ice
Saba con Yelo (Budget Bowl),Dessert,1 glass,255,55,2,2,Caramelized banana with milk & ice
Turon (Small Serving),Snack/Dessert,1 piece (80g),112,22,1,3,Banana spring roll
Turon (Large Serving),Snack/Dessert,1 piece (80g),187,37,2,6,Banana spring roll
Turon (Spicy Variant),Snack/Dessert,1 piece (80g),150,30,2,5,Banana spring roll; spicy
Turon (Low-Sodium),Snack/Dessert,1 piece (80g),150,30,2,5,Banana spring roll; reduced salt
Turon (With Brown Rice),Snack/Dessert,1 piece (80g),157,37,2,5,Banana spring roll; whole grain option
Turon (Fiesta Portion),Snack/Dessert,1 piece (80g),210,42,2,7,Banana spring roll
Turon (Budget Bowl),Snack/Dessert,1 piece (80g),127,25,1,4,Banana spring roll
Banana Cue (Small Serving),Snack/Dessert,1 stick (100g),150,33,1,4,Caramelized saba banana
Banana Cue (Large Serving),Snack/Dessert,1 stick (100g),250,56,2,7,Caramelized saba banana
Banana Cue (Spicy Variant),Snack/Dessert,1 stick (100g),200,45,2,6,Caramelized saba banana; spicy
Banana Cue (Low-Sodium),Snack/Dessert,1 stick (100g),200,45,2,6,Caramelized saba banana; reduced salt
Banana Cue (With Brown Rice),Snack/Dessert,1 stick (100g),210,53,2,6,Caramelized saba banana; whole grain option
Banana Cue (Fiesta Portion),Snack/Dessert,1 stick (100g),280,62,2,8,Caramelized saba banana
Banana Cue (Budget Bowl),Snack/Dessert,1 stick (100g),170,38,1,5,Caramelized saba banana
Camote Cue (Small Serving),Snack/Dessert,1 stick (120g),165,36,1,3,Caramelized sweet potato
Camote Cue (Large Serving),Snack/Dessert,1 stick (120g),275,60,2,6,Caramelized sweet potato
Camote Cue (Spicy Variant),Snack/Dessert,1 stick (120g),220,48,2,5,Caramelized sweet potato; spicy
Camote Cue (Low-Sodium),Snack/Dessert,1 stick (120g),220,48,2,5,Caramelized sweet potato; reduced salt
Camote Cue (With Brown Rice),Snack/Dessert,1 stick (120g),231,56,2,5,Caramelized sweet potato; whole grain option
Camote Cue (Fiesta Portion),Snack/Dessert,1 stick (120g),308,67,2,7,Caramelized sweet potato
Camote Cue (Budget Bowl),Snack/Dessert,1 stick (120g),187,40,1,4,Caramelized sweet potato
Kansi (Bacolod) (Small Serving),Lunch/Dinner,1 bowl (300g),315,7,21,22,Sour beef marrow soup
Kansi (Bacolod) (Large Serving),Lunch/Dinner,1 bowl (300g),525,12,35,37,Sour beef marrow soup
Kansi (Bacolod) (Spicy Variant),Lunch/Dinner,1 bowl (300g),420,10,28,30,Sour beef marrow soup; spicy
Kansi (Bacolod) (Low-Sodium),Lunch/Dinner,1 bowl (300g),420,10,28,30,Sour beef marrow soup; reduced salt
Kansi (Bacolod) (With Brown Rice),Lunch/Dinner,1 bowl (300g),441,16,29,31,Sour beef marrow soup; whole grain option
Kansi (Bacolod) (Fiesta Portion),Lunch/Dinner,1 bowl (300g),588,14,39,42,Sour beef marrow soup
Kansi (Bacolod) (Budget Bowl),Lunch/Dinner,1 bowl (300g),357,8,23,25,Sour beef marrow soup
"KBL (Kadios, Baboy, Langka) (Small Serving)",Lunch/Dinner,1 bowl (300g),285,15,19,15,Ilonggo sour stew
"KBL (Kadios, Baboy, Langka) (Large Serving)",Lunch/Dinner,1 bowl (300g),475,25,32,25,Ilonggo sour stew
"KBL (Kadios, Baboy, Langka) (Spicy Variant)",Lunch/Dinner,1 bowl (300g),380,20,26,20,Ilonggo sour stew; spicy
"KBL (Kadios, Baboy, Langka) (Low-Sodium)",Lunch/Dinner,1 bowl (300g),380,20,26,20,Ilonggo sour stew; reduced salt
"KBL (Kadios, Baboy, Langka) (With Brown Rice)",Lunch/Dinner,1 bowl (300g),399,27,27,21,Ilonggo sour stew; whole grain option
"KBL (Kadios, Baboy, Langka) (Fiesta Portion)",Lunch/Dinner,1 bowl (300g),532,28,36,28,Ilonggo sour stew
"KBL (Kadios, Baboy, Langka) (Budget Bowl)",Lunch/Dinner,1 bowl (300g),323,17,22,17,Ilonggo sour stew
Laswa (Iloilo) (Small Serving),Lunch/Dinner,1 bowl (250g),135,13,6,4,Light vegetable soup
Laswa (Iloilo) (Large Serving),Lunch/Dinner,1 bowl (250g),225,22,10,7,Light vegetable soup
Laswa (Iloilo) (Spicy Variant),Lunch/Dinner,1 bowl (250g),180,18,8,6,Light vegetable soup; spicy
Laswa (Iloilo) (Low-Sodium),Lunch/Dinner,1 bowl (250g),180,18,8,6,Light vegetable soup; reduced salt
Laswa (Iloilo) (With Brown Rice),Lunch/Dinner,1 bowl (250g),189,24,8,6,Light vegetable soup; whole grain option
