"Dish Name",Category,"Serving Size","Calories (kcal)","Carbs (g)","Protein (g)","Fat (g)",Notes,Ingredients
"Piyanggang Manok (Tausug) (Low-Sodium)",Lunch/Dinner,"1 cup (200g)",340,8,26,22,"Chicken with burnt coconut; reduced salt","Chicken, Burnt coconut, Turmeric, Onion, Garlic, Ginger, Coconut milk, Cooking oil, Salt, Black pepper"
"Piyanggang Manok (Tausug) (With Brown Rice)",Lunch/Dinner,"1 cup (200g)",357,14,27,23,"Chicken with burnt coconut; whole grain option","Chicken, Burnt coconut, Turmeric, Onion, Garlic, Ginger, Coconut milk, Cooking oil, Salt, Black pepper"
"Piyanggang Manok (Tausug) (Fiesta Portion)",Lunch/Dinner,"1 cup (200g)",475,11,36,30,"Chicken with burnt coconut","Chicken, Burnt coconut, Turmeric, Onion, Garlic, Ginger, Coconut milk, Cooking oil, Salt, Black pepper"
"Piyanggang Manok (Tausug) (Budget Bowl)",Lunch/Dinner,"1 cup (200g)",289,6,22,18,"Chicken with burnt coconut","Chicken, Burnt coconut, Turmeric, Onion, Garlic, Ginger, Coconut milk, Cooking oil, Salt, Black pepper"
"Tiyula Itum (Tausug) (Small Serving)",Lunch/Dinner,"1 bowl (300g)",270,9,21,16,"Black soup with burnt coconut","Beef or chicken, Burnt coconut, Turmeric, Onion, Garlic, Ginger, Coconut milk, Cooking oil, Water, Salt, Black pepper"
"Tiyula Itum (Tausug) (Large Serving)",Lunch/Dinner,"1 bowl (300g)",450,15,35,27,"Black soup with burnt coconut","Beef or chicken, Burnt coconut, Turmeric, Onion, Garlic, Ginger, Coconut milk, Cooking oil, Water, Salt, Black pepper"
"Tiyula Itum (Tausug) (Spicy Variant)",Lunch/Dinner,"1 bowl (300g)",360,12,28,22,"Black soup with burnt coconut; spicy","Beef or chicken, Burnt coconut, Turmeric, Onion, Garlic, Ginger, Coconut milk, Cooking oil, Water, Salt, Black pepper"
"Tiyula Itum (Tausug) (Low-Sodium)",Lunch/Dinner,"1 bowl (300g)",360,12,28,22,"Black soup with burnt coconut; reduced salt","Beef or chicken, Burnt coconut, Turmeric, Onion, Garlic, Ginger, Coconut milk, Cooking oil, Water, Salt, Black pepper"
"Tiyula Itum (Tausug) (With Brown Rice)",Lunch/Dinner,"1 bowl (300g)",378,18,29,23,"Black soup with burnt coconut; whole grain option","Beef or chicken, Burnt coconut, Turmeric, Onion, Garlic, Ginger, Coconut milk, Cooking oil, Water, Salt, Black pepper"
"Tiyula Itum (Tausug) (Fiesta Portion)",Lunch/Dinner,"1 bowl (300g)",503,16,39,30,"Black soup with burnt coconut","Beef or chicken, Burnt coconut, Turmeric, Onion, Garlic, Ginger, Coconut milk, Cooking oil, Water, Salt, Black pepper"
"Tiyula Itum (Tausug) (Budget Bowl)",Lunch/Dinner,"1 bowl (300g)",306,10,23,18,"Black soup with burnt coconut","Beef or chicken, Burnt coconut, Turmeric, Onion, Garlic, Ginger, Coconut milk, Cooking oil, Water, Salt, Black pepper"
"Piaparan (Maranao) (Small Serving)",Lunch/Dinner,"1 cup (200g)",270,10,18,16,"Coconut & turmeric","Chicken, Coconut milk, Turmeric, Onion, Garlic, Ginger, Green chili, Cooking oil, Salt, Black pepper"
"Piaparan (Maranao) (Large Serving)",Lunch/Dinner,"1 cup (200g)",450,17,30,27,"Coconut & turmeric","Chicken, Coconut milk, Turmeric, Onion, Garlic, Ginger, Green chili, Cooking oil, Salt, Black pepper"
"Piaparan (Maranao) (Spicy Variant)",Lunch/Dinner,"1 cup (200g)",360,14,24,22,"Coconut & turmeric; spicy","Chicken, Coconut milk, Turmeric, Onion, Garlic, Ginger, Green chili, Cooking oil, Salt, Black pepper"
"Piaparan (Maranao) (Low-Sodium)",Lunch/Dinner,"1 cup (200g)",360,14,24,22,"Coconut & turmeric; reduced salt","Chicken, Coconut milk, Turmeric, Onion, Garlic, Ginger, Green chili, Cooking oil, Salt, Black pepper"
"Piaparan (Maranao) (With Brown Rice)",Lunch/Dinner,"1 cup (200g)",378,20,25,23,"Coconut & turmeric; whole grain option","Chicken, Coconut milk, Turmeric, Onion, Garlic, Ginger, Green chili, Cooking oil, Salt, Black pepper"
"Piaparan (Maranao) (Fiesta Portion)",Lunch/Dinner,"1 cup (200g)",503,19,33,30,"Coconut & turmeric","Chicken, Coconut milk, Turmeric, Onion, Garlic, Ginger, Green chili, Cooking oil, Salt, Black pepper"
"Piaparan (Maranao) (Budget Bowl)",Lunch/Dinner,"1 cup (200g)",306,11,20,18,"Coconut & turmeric","Chicken, Coconut milk, Turmeric, Onion, Garlic, Ginger, Green chili, Cooking oil, Salt, Black pepper"
"Pastil (Maguindanao) (Small Serving)",Snack/Lunch,"1 pack (180g)",315,45,12,7,"Rice with shredded chicken","Rice, Shredded chicken, Onion, Garlic, Turmeric, Cooking oil, Salt, Black pepper, Banana leaf"
"Pastil (Maguindanao) (Large Serving)",Snack/Lunch,"1 pack (180g)",525,75,20,12,"Rice with shredded chicken","Rice, Shredded chicken, Onion, Garlic, Turmeric, Cooking oil, Salt, Black pepper, Banana leaf"
"Pastil (Maguindanao) (Spicy Variant)",Snack/Lunch,"1 pack (180g)",420,60,16,10,"Rice with shredded chicken; spicy","Rice, Shredded chicken, Onion, Garlic, Turmeric, Cooking oil, Salt, Black pepper, Banana leaf"
"Pastil (Maguindanao) (Low-Sodium)",Snack/Lunch,"1 pack (180g)",420,60,16,10,"Rice with shredded chicken; reduced salt","Rice, Shredded chicken, Onion, Garlic, Turmeric, Cooking oil, Salt, Black pepper, Banana leaf"
"Pastil (Maguindanao) (With Brown Rice)",Snack/Lunch,"1 pack (180g)",441,69,16,10,"Rice with shredded chicken; whole grain option","Rice, Shredded chicken, Onion, Garlic, Turmeric, Cooking oil, Salt, Black pepper, Banana leaf"
"Pastil (Maguindanao) (Fiesta Portion)",Snack/Lunch,"1 pack (180g)",588,84,22,14,"Rice with shredded chicken","Rice, Shredded chicken, Onion, Garlic, Turmeric, Cooking oil, Salt, Black pepper, Banana leaf"
"Pastil (Maguindanao) (Budget Bowl)",Snack/Lunch,"1 pack (180g)",357,51,13,8,"Rice with shredded chicken","Rice, Shredded chicken, Onion, Garlic, Turmeric, Cooking oil, Salt, Black pepper, Banana leaf"
"Tinowa (Cebu) (Small Serving)",Lunch/Dinner,"1 bowl (250g)",180,4,19,7,"Clear fish soup","Fish, Onion, Garlic, Ginger, Tomatoes, Green chili, Water, Salt, Black pepper"
"Tinowa (Cebu) (Large Serving)",Lunch/Dinner,"1 bowl (250g)",300,7,32,12,"Clear fish soup","Fish, Onion, Garlic, Ginger, Tomatoes, Green chili, Water, Salt, Black pepper"
"Tinowa (Cebu) (Spicy Variant)",Lunch/Dinner,"1 bowl (250g)",240,6,26,10,"Clear fish soup; spicy","Fish, Onion, Garlic, Ginger, Tomatoes, Green chili, Water, Salt, Black pepper"
"Tinowa (Cebu) (Low-Sodium)",Lunch/Dinner,"1 bowl (250g)",240,6,26,10,"Clear fish soup; reduced salt","Fish, Onion, Garlic, Ginger, Tomatoes, Green chili, Water, Salt, Black pepper"
"Tinowa (Cebu) (With Brown Rice)",Lunch/Dinner,"1 bowl (250g)",252,12,27,10,"Clear fish soup; whole grain option","Fish, Onion, Garlic, Ginger, Tomatoes, Green chili, Water, Salt, Black pepper"
"Tinowa (Cebu) (Fiesta Portion)",Lunch/Dinner,"1 bowl (250g)",336,8,36,14,"Clear fish soup","Fish, Onion, Garlic, Ginger, Tomatoes, Green chili, Water, Salt, Black pepper"
"Tinowa (Cebu) (Budget Bowl)",Lunch/Dinner,"1 bowl (250g)",204,5,22,8,"Clear fish soup","Fish, Onion, Garlic, Ginger, Tomatoes, Green chili, Water, Salt, Black pepper"
"Linarang (Cebu) (Small Serving)",Lunch/Dinner,"1 bowl (250g)",225,7,18,12,"Sour-savory fish stew","Fish, Onion, Garlic, Ginger, Tomatoes, Green chili, Vinegar, Water, Salt, Black pepper"
"Linarang (Cebu) (Large Serving)",Lunch/Dinner,"1 bowl (250g)",375,12,30,20,"Sour-savory fish stew","Fish, Onion, Garlic, Ginger, Tomatoes, Green chili, Vinegar, Water, Salt, Black pepper"
"Linarang (Cebu) (Spicy Variant)",Lunch/Dinner,"1 bowl (250g)",300,10,24,16,"Sour-savory fish stew; spicy","Fish, Onion, Garlic, Ginger, Tomatoes, Green chili, Vinegar, Water, Salt, Black pepper"
"Linarang (Cebu) (Low-Sodium)",Lunch/Dinner,"1 bowl (250g)",300,10,24,16,"Sour-savory fish stew; reduced salt","Fish, Onion, Garlic, Ginger, Tomatoes, Green chili, Vinegar, Water, Salt, Black pepper"
"Linarang (Cebu) (With Brown Rice)",Lunch/Dinner,"1 bowl (250g)",315,16,25,16,"Sour-savory fish stew; whole grain option","Fish, Onion, Garlic, Ginger, Tomatoes, Green chili, Vinegar, Water, Salt, Black pepper"
"Linarang (Cebu) (Fiesta Portion)",Lunch/Dinner,"1 bowl (250g)",420,14,33,22,"Sour-savory fish stew","Fish, Onion, Garlic, Ginger, Tomatoes, Green chili, Vinegar, Water, Salt, Black pepper"
"Linarang (Cebu) (Budget Bowl)",Lunch/Dinner,"1 bowl (250g)",255,8,20,13,"Sour-savory fish stew","Fish, Onion, Garlic, Ginger, Tomatoes, Green chili, Vinegar, Water, Salt, Black pepper"
"Kinilaw na Lato (Small Serving)",Snack/Lunch,"1 cup (150g)",90,7,3,3,"Seaweed salad","Seaweed (lato), Vinegar, Onion, Ginger, Chili, Salt, Black pepper, Calamansi"
"Kinilaw na Lato (Large Serving)",Snack/Lunch,"1 cup (150g)",150,12,5,5,"Seaweed salad","Seaweed (lato), Vinegar, Onion, Ginger, Chili, Salt, Black pepper, Calamansi"
"Kinilaw na Lato (Spicy Variant)",Snack/Lunch,"1 cup (150g)",120,10,4,4,"Seaweed salad; spicy","Seaweed (lato), Vinegar, Onion, Ginger, Chili, Salt, Black pepper, Calamansi"
"Kinilaw na Lato (Low-Sodium)",Snack/Lunch,"1 cup (150g)",120,10,4,4,"Seaweed salad; reduced salt","Seaweed (lato), Vinegar, Onion, Ginger, Chili, Salt, Black pepper, Calamansi"
"Kinilaw na Lato (With Brown Rice)",Snack/Lunch,"1 cup (150g)",126,16,4,4,"Seaweed salad; whole grain option","Seaweed (lato), Vinegar, Onion, Ginger, Chili, Salt, Black pepper, Calamansi"
"Kinilaw na Lato (Fiesta Portion)",Snack/Lunch,"1 cup (150g)",168,14,5,5,"Seaweed salad","Seaweed (lato), Vinegar, Onion, Ginger, Chili, Salt, Black pepper, Calamansi"
"Kinilaw na Lato (Budget Bowl)",Snack/Lunch,"1 cup (150g)",102,8,3,3,"Seaweed salad","Seaweed (lato), Vinegar, Onion, Ginger, Chili, Salt, Black pepper, Calamansi"
"Bringhe (Kapampangan Paella) (Small Serving)",Lunch/Dinner,"1 plate (300g)",390,58,13,9,"Sticky rice paella","Glutinous rice, Chicken, Shrimp, Coconut milk, Turmeric, Onion, Garlic, Bell peppers, Raisins, Cooking oil, Salt, Black pepper"
"Bringhe (Kapampangan Paella) (Large Serving)",Lunch/Dinner,"1 plate (300g)",650,97,22,15,"Sticky rice paella","Glutinous rice, Chicken, Shrimp, Coconut milk, Turmeric, Onion, Garlic, Bell peppers, Raisins, Cooking oil, Salt, Black pepper"
"Bringhe (Kapampangan Paella) (Spicy Variant)",Lunch/Dinner,"1 plate (300g)",520,78,18,12,"Sticky rice paella; spicy","Glutinous rice, Chicken, Shrimp, Coconut milk, Turmeric, Onion, Garlic, Bell peppers, Raisins, Cooking oil, Salt, Black pepper"
"Bringhe (Kapampangan Paella) (Low-Sodium)",Lunch/Dinner,"1 plate (300g)",520,78,18,12,"Sticky rice paella; reduced salt","Glutinous rice, Chicken, Shrimp, Coconut milk, Turmeric, Onion, Garlic, Bell peppers, Raisins, Cooking oil, Salt, Black pepper"
"Bringhe (Kapampangan Paella) (With Brown Rice)",Lunch/Dinner,"1 plate (300g)",546,87,18,12,"Sticky rice paella; whole grain option","Glutinous rice, Chicken, Shrimp, Coconut milk, Turmeric, Onion, Garlic, Bell peppers, Raisins, Cooking oil, Salt, Black pepper"
"Bringhe (Kapampangan Paella) (Fiesta Portion)",Lunch/Dinner,"1 plate (300g)",728,109,25,16,"Sticky rice paella","Glutinous rice, Chicken, Shrimp, Coconut milk, Turmeric, Onion, Garlic, Bell peppers, Raisins, Cooking oil, Salt, Black pepper"
"Bringhe (Kapampangan Paella) (Budget Bowl)",Lunch/Dinner,"1 plate (300g)",442,66,15,10,"Sticky rice paella","Glutinous rice, Chicken, Shrimp, Coconut milk, Turmeric, Onion, Garlic, Bell peppers, Raisins, Cooking oil, Salt, Black pepper"
"Morcon (Small Serving)",Lunch/Dinner,"1 slice (150g)",270,9,18,16,"Stuffed beef roulade","Beef, Hard-boiled eggs, Carrots, Pickles, Onion, Garlic, Tomato sauce, Bay leaves, Cooking oil, Salt, Black pepper"
"Morcon (Large Serving)",Lunch/Dinner,"1 slice (150g)",450,15,30,27,"Stuffed beef roulade","Beef, Hard-boiled eggs, Carrots, Pickles, Onion, Garlic, Tomato sauce, Bay leaves, Cooking oil, Salt, Black pepper"
"Morcon (Spicy Variant)",Lunch/Dinner,"1 slice (150g)",360,12,24,22,"Stuffed beef roulade; spicy","Beef, Hard-boiled eggs, Carrots, Pickles, Onion, Garlic, Tomato sauce, Bay leaves, Cooking oil, Salt, Black pepper"
"Morcon (Low-Sodium)",Lunch/Dinner,"1 slice (150g)",360,12,24,22,"Stuffed beef roulade; reduced salt","Beef, Hard-boiled eggs, Carrots, Pickles, Onion, Garlic, Tomato sauce, Bay leaves, Cooking oil, Salt, Black pepper"
"Morcon (With Brown Rice)",Lunch/Dinner,"1 slice (150g)",378,18,25,23,"Stuffed beef roulade; whole grain option","Beef, Hard-boiled eggs, Carrots, Pickles, Onion, Garlic, Tomato sauce, Bay leaves, Cooking oil, Salt, Black pepper"
"Morcon (Fiesta Portion)",Lunch/Dinner,"1 slice (150g)",503,16,33,30,"Stuffed beef roulade","Beef, Hard-boiled eggs, Carrots, Pickles, Onion, Garlic, Tomato sauce, Bay leaves, Cooking oil, Salt, Black pepper"
"Morcon (Budget Bowl)",Lunch/Dinner,"1 slice (150g)",306,10,20,18,"Stuffed beef roulade","Beef, Hard-boiled eggs, Carrots, Pickles, Onion, Garlic, Tomato sauce, Bay leaves, Cooking oil, Salt, Black pepper"
"Callos (Filipino) (Small Serving)",Lunch/Dinner,"1 cup (200g)",240,12,18,13,"Tripe stew","Beef tripe, Onion, Garlic, Tomatoes, Bell peppers, Green olives, Tomato sauce, Bay leaves, Cooking oil, Salt, Black pepper"
"Callos (Filipino) (Large Serving)",Lunch/Dinner,"1 cup (200g)",400,20,30,22,"Tripe stew","Beef tripe, Onion, Garlic, Tomatoes, Bell peppers, Green olives, Tomato sauce, Bay leaves, Cooking oil, Salt, Black pepper"
"Callos (Filipino) (Spicy Variant)",Lunch/Dinner,"1 cup (200g)",320,16,24,18,"Tripe stew; spicy","Beef tripe, Onion, Garlic, Tomatoes, Bell peppers, Green olives, Tomato sauce, Bay leaves, Cooking oil, Salt, Black pepper"
"Callos (Filipino) (Low-Sodium)",Lunch/Dinner,"1 cup (200g)",320,16,24,18,"Tripe stew; reduced salt","Beef tripe, Onion, Garlic, Tomatoes, Bell peppers, Green olives, Tomato sauce, Bay leaves, Cooking oil, Salt, Black pepper"
"Callos (Filipino) (With Brown Rice)",Lunch/Dinner,"1 cup (200g)",336,22,25,18,"Tripe stew; whole grain option","Beef tripe, Onion, Garlic, Tomatoes, Bell peppers, Green olives, Tomato sauce, Bay leaves, Cooking oil, Salt, Black pepper"
"Callos (Filipino) (Fiesta Portion)",Lunch/Dinner,"1 cup (200g)",448,22,33,25,"Tripe stew","Beef tripe, Onion, Garlic, Tomatoes, Bell peppers, Green olives, Tomato sauce, Bay leaves, Cooking oil, Salt, Black pepper"
"Callos (Filipino) (Budget Bowl)",Lunch/Dinner,"1 cup (200g)",272,13,20,15,"Tripe stew","Beef tripe, Onion, Garlic, Tomatoes, Bell peppers, Green olives, Tomato sauce, Bay leaves, Cooking oil, Salt, Black pepper"
"Tinapa Fried Rice (Small Serving)",Breakfast/Lunch,"1 cup (200g)",240,37,7,6,"Smoked fish fried rice","Smoked fish (tinapa), Rice, Garlic, Onion, Eggs, Cooking oil, Salt, Black pepper"
"Tinapa Fried Rice (Large Serving)",Breakfast/Lunch,"1 cup (200g)",400,62,12,10,"Smoked fish fried rice","Smoked fish (tinapa), Rice, Garlic, Onion, Eggs, Cooking oil, Salt, Black pepper"
"Tinapa Fried Rice (Spicy Variant)",Breakfast/Lunch,"1 cup (200g)",320,50,10,8,"Smoked fish fried rice; spicy","Smoked fish (tinapa), Rice, Garlic, Onion, Eggs, Cooking oil, Salt, Black pepper"
"Tinapa Fried Rice (Low-Sodium)",Breakfast/Lunch,"1 cup (200g)",320,50,10,8,"Smoked fish fried rice; reduced salt","Smoked fish (tinapa), Rice, Garlic, Onion, Eggs, Cooking oil, Salt, Black pepper"
"Tinapa Fried Rice (With Brown Rice)",Breakfast/Lunch,"1 cup (200g)",336,58,10,8,"Smoked fish fried rice; whole grain option","Smoked fish (tinapa), Rice, Garlic, Onion, Eggs, Cooking oil, Salt, Black pepper"
"Tinapa Fried Rice (Fiesta Portion)",Breakfast/Lunch,"1 cup (200g)",448,70,14,11,"Smoked fish fried rice","Smoked fish (tinapa), Rice, Garlic, Onion, Eggs, Cooking oil, Salt, Black pepper"
"Tinapa Fried Rice (Budget Bowl)",Breakfast/Lunch,"1 cup (200g)",272,42,8,6,"Smoked fish fried rice","Smoked fish (tinapa), Rice, Garlic, Onion, Eggs, Cooking oil, Salt, Black pepper"
"Gising-Gising (Small Serving)",Lunch/Dinner,"1 cup (200g)",225,10,10,15,"Spicy coconut green beans","Green beans, Coconut milk, Pork, Shrimp paste, Onion, Garlic, Green chili, Cooking oil, Salt"
"Gising-Gising (Large Serving)",Lunch/Dinner,"1 cup (200g)",375,17,17,25,"Spicy coconut green beans","Green beans, Coconut milk, Pork, Shrimp paste, Onion, Garlic, Green chili, Cooking oil, Salt"
"Gising-Gising (Spicy Variant)",Lunch/Dinner,"1 cup (200g)",300,14,14,20,"Spicy coconut green beans; spicy","Green beans, Coconut milk, Pork, Shrimp paste, Onion, Garlic, Green chili, Cooking oil, Salt"
"Gising-Gising (Low-Sodium)",Lunch/Dinner,"1 cup (200g)",300,14,14,20,"Spicy coconut green beans; reduced salt","Green beans, Coconut milk, Pork, Shrimp paste, Onion, Garlic, Green chili, Cooking oil, Salt"
"Gising-Gising (With Brown Rice)",Lunch/Dinner,"1 cup (200g)",315,20,14,21,"Spicy coconut green beans; whole grain option","Green beans, Coconut milk, Pork, Shrimp paste, Onion, Garlic, Green chili, Cooking oil, Salt"
"Gising-Gising (Fiesta Portion)",Lunch/Dinner,"1 cup (200g)",420,19,19,28,"Spicy coconut green beans","Green beans, Coconut milk, Pork, Shrimp paste, Onion, Garlic, Green chili, Cooking oil, Salt"
"Gising-Gising (Budget Bowl)",Lunch/Dinner,"1 cup (200g)",255,11,11,17,"Spicy coconut green beans","Green beans, Coconut milk, Pork, Shrimp paste, Onion, Garlic, Green chili, Cooking oil, Salt"
"Pritong Tilapia (Small Serving)",Lunch/Dinner,150g,210,0,21,12,"Fried tilapia","Tilapia, Salt, Black pepper, Cooking oil, Calamansi"
"Pritong Tilapia (Large Serving)",Lunch/Dinner,150g,350,0,35,20,"Fried tilapia","Tilapia, Salt, Black pepper, Cooking oil, Calamansi"
"Pritong Tilapia (Spicy Variant)",Lunch/Dinner,150g,280,0,28,16,"Fried tilapia; spicy","Tilapia, Salt, Black pepper, Cooking oil, Calamansi"
"Pritong Tilapia (Low-Sodium)",Lunch/Dinner,150g,280,0,28,16,"Fried tilapia; reduced salt","Tilapia, Salt, Black pepper, Cooking oil, Calamansi"
"Pritong Tilapia (With Brown Rice)",Lunch/Dinner,150g,294,6,29,16,"Fried tilapia; whole grain option","Tilapia, Salt, Black pepper, Cooking oil, Calamansi"
"Pritong Tilapia (Fiesta Portion)",Lunch/Dinner,150g,392,0,39,22,"Fried tilapia","Tilapia, Salt, Black pepper, Cooking oil, Calamansi"
"Pritong Tilapia (Budget Bowl)",Lunch/Dinner,150g,238,0,23,13,"Fried tilapia","Tilapia, Salt, Black pepper, Cooking oil, Calamansi"
"Pritong Bangus (Small Serving)",Lunch/Dinner,150g,225,0,22,13,"Fried milkfish","Bangus (milkfish), Salt, Black pepper, Cooking oil, Calamansi"
"Pritong Bangus (Large Serving)",Lunch/Dinner,150g,375,0,37,22,"Fried milkfish","Bangus (milkfish), Salt, Black pepper, Cooking oil, Calamansi"
"Pritong Bangus (Spicy Variant)",Lunch/Dinner,150g,300,0,30,18,"Fried milkfish; spicy","Bangus (milkfish), Salt, Black pepper, Cooking oil, Calamansi"
"Pritong Bangus (Low-Sodium)",Lunch/Dinner,150g,300,0,30,18,"Fried milkfish; reduced salt","Bangus (milkfish), Salt, Black pepper, Cooking oil, Calamansi"
"Pritong Bangus (With Brown Rice)",Lunch/Dinner,150g,315,6,31,18,"Fried milkfish; whole grain option","Bangus (milkfish), Salt, Black pepper, Cooking oil, Calamansi"
"Pritong Bangus (Fiesta Portion)",Lunch/Dinner,150g,420,0,42,25,"Fried milkfish","Bangus (milkfish), Salt, Black pepper, Cooking oil, Calamansi"
"Pritong Bangus (Budget Bowl)",Lunch/Dinner,150g,255,0,25,15,"Fried milkfish","Bangus (milkfish), Salt, Black pepper, Cooking oil, Calamansi"
"Inasal na Baboy (Small Serving)",Lunch/Dinner,150g,315,4,21,22,"Grilled pork inasal","Pork, Lemongrass, Garlic, Ginger, Calamansi, Vinegar, Annatto powder, Salt, Black pepper, Cooking oil"
"Inasal na Baboy (Large Serving)",Lunch/Dinner,150g,525,7,35,37,"Grilled pork inasal","Pork, Lemongrass, Garlic, Ginger, Calamansi, Vinegar, Annatto powder, Salt, Black pepper, Cooking oil"
"Inasal na Baboy (Spicy Variant)",Lunch/Dinner,150g,420,6,28,30,"Grilled pork inasal; spicy","Pork, Lemongrass, Garlic, Ginger, Calamansi, Vinegar, Annatto powder, Salt, Black pepper, Cooking oil"
"Inasal na Baboy (Low-Sodium)",Lunch/Dinner,150g,420,6,28,30,"Grilled pork inasal; reduced salt","Pork, Lemongrass, Garlic, Ginger, Calamansi, Vinegar, Annatto powder, Salt, Black pepper, Cooking oil"
"Inasal na Baboy (With Brown Rice)",Lunch/Dinner,150g,441,12,29,31,"Grilled pork inasal; whole grain option","Pork, Lemongrass, Garlic, Ginger, Calamansi, Vinegar, Annatto powder, Salt, Black pepper, Cooking oil"
"Inasal na Baboy (Fiesta Portion)",Lunch/Dinner,150g,588,8,39,42,"Grilled pork inasal","Pork, Lemongrass, Garlic, Ginger, Calamansi, Vinegar, Annatto powder, Salt, Black pepper, Cooking oil"
"Inasal na Baboy (Budget Bowl)",Lunch/Dinner,150g,357,5,23,25,"Grilled pork inasal","Pork, Lemongrass, Garlic, Ginger, Calamansi, Vinegar, Annatto powder, Salt, Black pepper, Cooking oil"
"Tinapang Galunggong (Small Serving)",Lunch/Dinner,120g,180,0,18,10,"Smoked round scad","Smoked round scad (galunggong), Salt, Cooking oil, Calamansi"
"Tinapang Galunggong (Large Serving)",Lunch/Dinner,120g,300,0,30,17,"Smoked round scad","Smoked round scad (galunggong), Salt, Cooking oil, Calamansi"
"Tinapang Galunggong (Spicy Variant)",Lunch/Dinner,120g,240,0,24,14,"Smoked round scad; spicy","Smoked round scad (galunggong), Salt, Cooking oil, Calamansi"
"Tinapang Galunggong (Low-Sodium)",Lunch/Dinner,120g,240,0,24,14,"Smoked round scad; reduced salt","Smoked round scad (galunggong), Salt, Cooking oil, Calamansi"
"Tinapang Galunggong (With Brown Rice)",Lunch/Dinner,120g,252,6,25,14,"Smoked round scad; whole grain option","Smoked round scad (galunggong), Salt, Cooking oil, Calamansi"
"Tinapang Galunggong (Fiesta Portion)",Lunch/Dinner,120g,336,0,33,19,"Smoked round scad","Smoked round scad (galunggong), Salt, Cooking oil, Calamansi"
"Tinapang Galunggong (Budget Bowl)",Lunch/Dinner,120g,204,0,20,11,"Smoked round scad","Smoked round scad (galunggong), Salt, Cooking oil, Calamansi"
"Lumpiang Togue (Small Serving)",Snack,"2 pcs (120g)",180,21,4,7,"Bean sprout lumpia","Bean sprouts, Carrots, Onion, Garlic, Salt, Black pepper, Lumpia wrapper, Cooking oil"
"Lumpiang Togue (Large Serving)",Snack,"2 pcs (120g)",300,35,7,12,"Bean sprout lumpia","Bean sprouts, Carrots, Onion, Garlic, Salt, Black pepper, Lumpia wrapper, Cooking oil"
"Lumpiang Togue (Spicy Variant)",Snack,"2 pcs (120g)",240,28,6,10,"Bean sprout lumpia; spicy","Bean sprouts, Carrots, Onion, Garlic, Salt, Black pepper, Lumpia wrapper, Cooking oil"
"Lumpiang Togue (Low-Sodium)",Snack,"2 pcs (120g)",240,28,6,10,"Bean sprout lumpia; reduced salt","Bean sprouts, Carrots, Onion, Garlic, Salt, Black pepper, Lumpia wrapper, Cooking oil"
"Lumpiang Togue (With Brown Rice)",Snack,"2 pcs (120g)",252,35,6,10,"Bean sprout lumpia; whole grain option","Bean sprouts, Carrots, Onion, Garlic, Salt, Black pepper, Lumpia wrapper, Cooking oil"
"Lumpiang Togue (Fiesta Portion)",Snack,"2 pcs (120g)",336,39,8,14,"Bean sprout lumpia","Bean sprouts, Carrots, Onion, Garlic, Salt, Black pepper, Lumpia wrapper, Cooking oil"
"Lumpiang Togue (Budget Bowl)",Snack,"2 pcs (120g)",204,23,5,8,"Bean sprout lumpia","Bean sprouts, Carrots, Onion, Garlic, Salt, Black pepper, Lumpia wrapper, Cooking oil"
"Binagoongan (Pork) (Small Serving)",Lunch/Dinner,"1 cup (200g)",270,9,18,18,"Pork in shrimp paste","Pork, Shrimp paste (bagoong), Eggplant, Onion, Garlic, Green chili, Vinegar, Sugar, Cooking oil, Salt"
"Binagoongan (Pork) (Large Serving)",Lunch/Dinner,"1 cup (200g)",450,15,30,30,"Pork in shrimp paste","Pork, Shrimp paste (bagoong), Eggplant, Onion, Garlic, Green chili, Vinegar, Sugar, Cooking oil, Salt"
"Binagoongan (Pork) (Spicy Variant)",Lunch/Dinner,"1 cup (200g)",360,12,24,24,"Pork in shrimp paste; spicy","Pork, Shrimp paste (bagoong), Eggplant, Onion, Garlic, Green chili, Vinegar, Sugar, Cooking oil, Salt"
"Binagoongan (Pork) (Low-Sodium)",Lunch/Dinner,"1 cup (200g)",360,12,24,24,"Pork in shrimp paste; reduced salt","Pork, Shrimp paste (bagoong), Eggplant, Onion, Garlic, Green chili, Vinegar, Sugar, Cooking oil, Salt"
"Binagoongan (Pork) (With Brown Rice)",Lunch/Dinner,"1 cup (200g)",378,18,25,25,"Pork in shrimp paste; whole grain option","Pork, Shrimp paste (bagoong), Eggplant, Onion, Garlic, Green chili, Vinegar, Sugar, Cooking oil, Salt"
"Binagoongan (Pork) (Fiesta Portion)",Lunch/Dinner,"1 cup (200g)",503,16,33,33,"Pork in shrimp paste","Pork, Shrimp paste (bagoong), Eggplant, Onion, Garlic, Green chili, Vinegar, Sugar, Cooking oil, Salt"
"Binagoongan (Pork) (Budget Bowl)",Lunch/Dinner,"1 cup (200g)",306,10,20,20,"Pork in shrimp paste","Pork, Shrimp paste (bagoong), Eggplant, Onion, Garlic, Green chili, Vinegar, Sugar, Cooking oil, Salt"
"Ginataang Hipon (Small Serving)",Lunch/Dinner,"1 cup (200g)",255,9,18,16,"Shrimp in coconut milk","Shrimp, Coconut milk, Onion, Garlic, Ginger, Green chili, Shrimp paste, Cooking oil, Salt"
