"Dish Name",Category,"Serving Size","Calories (kcal)","Carbs (g)","Protein (g)","Fat (g)",Notes,Ingredients
"Nilagang Baka (Low-Sodium)",Lunch/Dinner,"1 bowl (250g)",280,10,24,16,"Boiled beef soup with veggies; reduced salt","Beef, Egg, Veggies; reduced salt"
"Nilagang Baka (With Brown Rice)",Lunch/Dinner,"1 bowl (250g)",294,16,25,16,"Boiled beef soup with veggies; whole grain option","Beef, Egg, Rice, Veggies; whole grain option"
"Nilagang Baka (Fiesta Portion)",Lunch/Dinner,"1 bowl (250g)",392,14,33,22,"Boiled beef soup with veggies","Beef, Egg, Veggies"
"Nilagang Baka (Budget Bowl)",Lunch/Dinner,"1 bowl (250g)",238,8,20,13,"Boiled beef soup with veggies","Beef, Egg, Veggies"
"Bulalo (Small Serving)",Lunch/Dinner,"1 bowl (300g)",360,7,22,25,"Bone marrow beef shank soup",Beef
"Bulalo (Large Serving)",Lunch/Dinner,"1 bowl (300g)",600,12,37,42,"Bone marrow beef shank soup",Beef
"Bulalo (Spicy Variant)",Lunch/Dinner,"1 bowl (300g)",480,10,30,34,"Bone marrow beef shank soup; spicy",Beef
"Bulalo (Low-Sodium)",Lunch/Dinner,"1 bowl (300g)",480,10,30,34,"Bone marrow beef shank soup; reduced salt",Beef
"Bulalo (With Brown Rice)",Lunch/Dinner,"1 bowl (300g)",504,16,31,35,"Bone marrow beef shank soup; whole grain option","Beef, Rice"
"Bulalo (Fiesta Portion)",Lunch/Dinner,"1 bowl (300g)",672,14,42,47,"Bone marrow beef shank soup",Beef
"Bulalo (Budget Bowl)",Lunch/Dinner,"1 bowl (300g)",408,8,25,28,"Bone marrow beef shank soup",Beef
"Sinigang sa Bayabas (Small Serving)",Lunch/Dinner,"1 bowl (250g)",202,7,15,10,"Guava-based sour soup","Tamarind, Vegetables"
"Sinigang sa Bayabas (Large Serving)",Lunch/Dinner,"1 bowl (250g)",337,12,25,17,"Guava-based sour soup","Tamarind, Vegetables"
"Sinigang sa Bayabas (Spicy Variant)",Lunch/Dinner,"1 bowl (250g)",270,10,20,14,"Guava-based sour soup; spicy","Tamarind, Vegetables"
"Sinigang sa Bayabas (Low-Sodium)",Lunch/Dinner,"1 bowl (250g)",270,10,20,14,"Guava-based sour soup; reduced salt","Tamarind, Vegetables"
"Sinigang sa Bayabas (With Brown Rice)",Lunch/Dinner,"1 bowl (250g)",283,16,21,14,"Guava-based sour soup; whole grain option","Rice, Tamarind, Vegetables"
"Sinigang sa Bayabas (Fiesta Portion)",Lunch/Dinner,"1 bowl (250g)",378,14,28,19,"Guava-based sour soup","Tamarind, Vegetables"
"Sinigang sa Bayabas (Budget Bowl)",Lunch/Dinner,"1 bowl (250g)",229,8,17,11,"Guava-based sour soup","Tamarind, Vegetables"
"Pininyahang Manok (Small Serving)",Lunch/Dinner,"1 cup (200g)",240,12,16,13,"Chicken with pineapple","Chicken, Pineapple"
"Pininyahang Manok (Large Serving)",Lunch/Dinner,"1 cup (200g)",400,20,27,22,"Chicken with pineapple","Chicken, Pineapple"
"Pininyahang Manok (Spicy Variant)",Lunch/Dinner,"1 cup (200g)",320,16,22,18,"Chicken with pineapple; spicy","Chicken, Pineapple; spicy"
"Pininyahang Manok (Low-Sodium)",Lunch/Dinner,"1 cup (200g)",320,16,22,18,"Chicken with pineapple; reduced salt","Chicken, Pineapple; reduced salt"
"Pininyahang Manok (With Brown Rice)",Lunch/Dinner,"1 cup (200g)",336,22,23,18,"Chicken with pineapple; whole grain option","Chicken, Pineapple; whole grain option, Rice"
"Pininyahang Manok (Fiesta Portion)",Lunch/Dinner,"1 cup (200g)",448,22,30,25,"Chicken with pineapple","Chicken, Pineapple"
"Pininyahang Manok (Budget Bowl)",Lunch/Dinner,"1 cup (200g)",272,13,18,15,"Chicken with pineapple","Chicken, Pineapple"
"Pochero (Luzon) (Small Serving)",Lunch/Dinner,"1 bowl (300g)",285,16,18,13,"Banana & tomato broth","Banana, Tomato"
"Pochero (Luzon) (Large Serving)",Lunch/Dinner,"1 bowl (300g)",475,27,30,22,"Banana & tomato broth","Banana, Tomato"
"Pochero (Luzon) (Spicy Variant)",Lunch/Dinner,"1 bowl (300g)",380,22,24,18,"Banana & tomato broth; spicy","Banana, Tomato"
"Pochero (Luzon) (Low-Sodium)",Lunch/Dinner,"1 bowl (300g)",380,22,24,18,"Banana & tomato broth; reduced salt","Banana, Tomato"
"Pochero (Luzon) (With Brown Rice)",Lunch/Dinner,"1 bowl (300g)",399,29,25,18,"Banana & tomato broth; whole grain option","Banana, Rice, Tomato"
"Pochero (Luzon) (Fiesta Portion)",Lunch/Dinner,"1 bowl (300g)",532,30,33,25,"Banana & tomato broth","Banana, Tomato"
"Pochero (Luzon) (Budget Bowl)",Lunch/Dinner,"1 bowl (300g)",323,18,20,15,"Banana & tomato broth","Banana, Tomato"
"Pochero (Visayas) (Small Serving)",Lunch/Dinner,"1 bowl (300g)",315,18,19,15,"With chorizo & saba","Chorizo & saba, Saba"
"Pochero (Visayas) (Large Serving)",Lunch/Dinner,"1 bowl (300g)",525,30,32,25,"With chorizo & saba","Chorizo & saba, Saba"
"Pochero (Visayas) (Spicy Variant)",Lunch/Dinner,"1 bowl (300g)",420,24,26,20,"With chorizo & saba; spicy","Chorizo & saba; spicy, Saba"
"Pochero (Visayas) (Low-Sodium)",Lunch/Dinner,"1 bowl (300g)",420,24,26,20,"With chorizo & saba; reduced salt","Chorizo & saba; reduced salt, Saba"
"Pochero (Visayas) (With Brown Rice)",Lunch/Dinner,"1 bowl (300g)",441,31,27,21,"With chorizo & saba; whole grain option","Chorizo & saba; whole grain option, Rice, Saba"
"Pochero (Visayas) (Fiesta Portion)",Lunch/Dinner,"1 bowl (300g)",588,33,36,28,"With chorizo & saba","Chorizo & saba, Saba"
"Pochero (Visayas) (Budget Bowl)",Lunch/Dinner,"1 bowl (300g)",357,20,22,17,"With chorizo & saba","Chorizo & saba, Saba"
"Humba (Visayas) (Small Serving)",Lunch/Dinner,"1 cup (200g)",315,12,16,21,"Braised pork with black beans","Black beans, Pork"
"Humba (Visayas) (Large Serving)",Lunch/Dinner,"1 cup (200g)",525,20,27,35,"Braised pork with black beans","Black beans, Pork"
"Humba (Visayas) (Spicy Variant)",Lunch/Dinner,"1 cup (200g)",420,16,22,28,"Braised pork with black beans; spicy","Black beans; spicy, Pork"
"Humba (Visayas) (Low-Sodium)",Lunch/Dinner,"1 cup (200g)",420,16,22,28,"Braised pork with black beans; reduced salt","Black beans; reduced salt, Pork"
"Humba (Visayas) (With Brown Rice)",Lunch/Dinner,"1 cup (200g)",441,22,23,29,"Braised pork with black beans; whole grain option","Black beans; whole grain option, Pork, Rice"
"Humba (Visayas) (Fiesta Portion)",Lunch/Dinner,"1 cup (200g)",588,22,30,39,"Braised pork with black beans","Black beans, Pork"
"Humba (Visayas) (Budget Bowl)",Lunch/Dinner,"1 cup (200g)",357,13,18,23,"Braised pork with black beans","Black beans, Pork"
"Igado (Ilocos) (Small Serving)",Lunch/Dinner,"1 cup (200g)",255,7,18,16,"Pork & liver stew","Liver, Pork"
"Igado (Ilocos) (Large Serving)",Lunch/Dinner,"1 cup (200g)",425,12,30,27,"Pork & liver stew","Liver, Pork"
"Igado (Ilocos) (Spicy Variant)",Lunch/Dinner,"1 cup (200g)",340,10,24,22,"Pork & liver stew; spicy","Liver, Pork"
"Igado (Ilocos) (Low-Sodium)",Lunch/Dinner,"1 cup (200g)",340,10,24,22,"Pork & liver stew; reduced salt","Liver, Pork"
"Igado (Ilocos) (With Brown Rice)",Lunch/Dinner,"1 cup (200g)",357,16,25,23,"Pork & liver stew; whole grain option","Liver, Pork, Rice"
"Igado (Ilocos) (Fiesta Portion)",Lunch/Dinner,"1 cup (200g)",475,14,33,30,"Pork & liver stew","Liver, Pork"
"Igado (Ilocos) (Budget Bowl)",Lunch/Dinner,"1 cup (200g)",289,8,20,18,"Pork & liver stew","Liver, Pork"
"Papaitan (Ilocos) (Small Serving)",Lunch/Dinner,"1 bowl (250g)",195,4,18,10,"Bitter beef innards soup","Beef, Innards"
"Papaitan (Ilocos) (Large Serving)",Lunch/Dinner,"1 bowl (250g)",325,7,30,17,"Bitter beef innards soup","Beef, Innards"
"Papaitan (Ilocos) (Spicy Variant)",Lunch/Dinner,"1 bowl (250g)",260,6,24,14,"Bitter beef innards soup; spicy","Beef, Innards"
"Papaitan (Ilocos) (Low-Sodium)",Lunch/Dinner,"1 bowl (250g)",260,6,24,14,"Bitter beef innards soup; reduced salt","Beef, Innards"
"Papaitan (Ilocos) (With Brown Rice)",Lunch/Dinner,"1 bowl (250g)",273,12,25,14,"Bitter beef innards soup; whole grain option","Beef, Innards, Rice"
"Papaitan (Ilocos) (Fiesta Portion)",Lunch/Dinner,"1 bowl (250g)",364,8,33,19,"Bitter beef innards soup","Beef, Innards"
"Papaitan (Ilocos) (Budget Bowl)",Lunch/Dinner,"1 bowl (250g)",221,5,20,11,"Bitter beef innards soup","Beef, Innards"
"Bagnet (Ilocos) (Small Serving)",Lunch/Dinner,120g,390,2,16,30,"Crispy deep-fried pork",Pork
"Bagnet (Ilocos) (Large Serving)",Lunch/Dinner,120g,650,3,27,50,"Crispy deep-fried pork",Pork
"Bagnet (Ilocos) (Spicy Variant)",Lunch/Dinner,120g,520,3,22,40,"Crispy deep-fried pork; spicy",Pork
"Bagnet (Ilocos) (Low-Sodium)",Lunch/Dinner,120g,520,3,22,40,"Crispy deep-fried pork; reduced salt",Pork
"Bagnet (Ilocos) (With Brown Rice)",Lunch/Dinner,120g,546,9,23,42,"Crispy deep-fried pork; whole grain option","Pork, Rice"
"Bagnet (Ilocos) (Fiesta Portion)",Lunch/Dinner,120g,728,4,30,56,"Crispy deep-fried pork",Pork
"Bagnet (Ilocos) (Budget Bowl)",Lunch/Dinner,120g,442,2,18,34,"Crispy deep-fried pork",Pork
"Dinuguan (Small Serving)",Lunch/Dinner,"1 cup (200g)",225,6,15,15,"Pork blood stew","Blood, Pork"
"Dinuguan (Large Serving)",Lunch/Dinner,"1 cup (200g)",375,10,25,25,"Pork blood stew","Blood, Pork"
"Dinuguan (Spicy Variant)",Lunch/Dinner,"1 cup (200g)",300,8,20,20,"Pork blood stew; spicy","Blood, Pork"
"Dinuguan (Low-Sodium)",Lunch/Dinner,"1 cup (200g)",300,8,20,20,"Pork blood stew; reduced salt","Blood, Pork"
"Dinuguan (With Brown Rice)",Lunch/Dinner,"1 cup (200g)",315,14,21,21,"Pork blood stew; whole grain option","Blood, Pork, Rice"
"Dinuguan (Fiesta Portion)",Lunch/Dinner,"1 cup (200g)",420,11,28,28,"Pork blood stew","Blood, Pork"
"Dinuguan (Budget Bowl)",Lunch/Dinner,"1 cup (200g)",255,6,17,17,"Pork blood stew","Blood, Pork"
"Pinangat (Bicol) (Small Serving)",Lunch/Dinner,"1 cup (200g)",225,9,9,16,"Taro leaves in coconut parcels","Coconut, Taro, Taro leaves"
"Pinangat (Bicol) (Large Serving)",Lunch/Dinner,"1 cup (200g)",375,15,15,27,"Taro leaves in coconut parcels","Coconut, Taro, Taro leaves"
"Pinangat (Bicol) (Spicy Variant)",Lunch/Dinner,"1 cup (200g)",300,12,12,22,"Taro leaves in coconut parcels; spicy","Coconut, Taro, Taro leaves"
"Pinangat (Bicol) (Low-Sodium)",Lunch/Dinner,"1 cup (200g)",300,12,12,22,"Taro leaves in coconut parcels; reduced salt","Coconut, Taro, Taro leaves"
"Pinangat (Bicol) (With Brown Rice)",Lunch/Dinner,"1 cup (200g)",315,18,12,23,"Taro leaves in coconut parcels; whole grain option","Coconut, Rice, Taro, Taro leaves"
"Pinangat (Bicol) (Fiesta Portion)",Lunch/Dinner,"1 cup (200g)",420,16,16,30,"Taro leaves in coconut parcels","Coconut, Taro, Taro leaves"
"Pinangat (Bicol) (Budget Bowl)",Lunch/Dinner,"1 cup (200g)",255,10,10,18,"Taro leaves in coconut parcels","Coconut, Taro, Taro leaves"
"Relyenong Bangus (Small Serving)",Lunch/Dinner,"1 slice (150g)",270,7,19,16,"Stuffed milkfish","Bangus, Fish"
"Relyenong Bangus (Large Serving)",Lunch/Dinner,"1 slice (150g)",450,12,32,27,"Stuffed milkfish","Bangus, Fish"
"Relyenong Bangus (Spicy Variant)",Lunch/Dinner,"1 slice (150g)",360,10,26,22,"Stuffed milkfish; spicy","Bangus, Fish"
"Relyenong Bangus (Low-Sodium)",Lunch/Dinner,"1 slice (150g)",360,10,26,22,"Stuffed milkfish; reduced salt","Bangus, Fish"
"Relyenong Bangus (With Brown Rice)",Lunch/Dinner,"1 slice (150g)",378,16,27,23,"Stuffed milkfish; whole grain option","Bangus, Fish, Rice"
"Relyenong Bangus (Fiesta Portion)",Lunch/Dinner,"1 slice (150g)",503,14,36,30,"Stuffed milkfish","Bangus, Fish"
"Relyenong Bangus (Budget Bowl)",Lunch/Dinner,"1 slice (150g)",306,8,22,18,"Stuffed milkfish","Bangus, Fish"
"Embutido (Small Serving)",Lunch/Dinner,"1 slice (120g)",210,12,10,12,"Filipino meatloaf","Rice, Vegetables"
"Embutido (Large Serving)",Lunch/Dinner,"1 slice (120g)",350,20,17,20,"Filipino meatloaf","Rice, Vegetables"
"Embutido (Spicy Variant)",Lunch/Dinner,"1 slice (120g)",280,16,14,16,"Filipino meatloaf; spicy","Rice, Vegetables"
"Embutido (Low-Sodium)",Lunch/Dinner,"1 slice (120g)",280,16,14,16,"Filipino meatloaf; reduced salt","Rice, Vegetables"
"Embutido (With Brown Rice)",Lunch/Dinner,"1 slice (120g)",294,22,14,16,"Filipino meatloaf; whole grain option",Rice
"Embutido (Fiesta Portion)",Lunch/Dinner,"1 slice (120g)",392,22,19,22,"Filipino meatloaf","Rice, Vegetables"
"Embutido (Budget Bowl)",Lunch/Dinner,"1 slice (120g)",238,13,11,13,"Filipino meatloaf","Rice, Vegetables"
"Lumpiang Shanghai (Small Serving)",Snack/Lunch,"4 pcs (120g)",240,21,10,13,"Fried pork spring rolls","Lumpia wrapper, Pork"
"Lumpiang Shanghai (Large Serving)",Snack/Lunch,"4 pcs (120g)",400,35,17,22,"Fried pork spring rolls","Lumpia wrapper, Pork"
"Lumpiang Shanghai (Spicy Variant)",Snack/Lunch,"4 pcs (120g)",320,28,14,18,"Fried pork spring rolls; spicy","Lumpia wrapper, Pork"
"Lumpiang Shanghai (Low-Sodium)",Snack/Lunch,"4 pcs (120g)",320,28,14,18,"Fried pork spring rolls; reduced salt","Lumpia wrapper, Pork"
"Lumpiang Shanghai (With Brown Rice)",Snack/Lunch,"4 pcs (120g)",336,35,14,18,"Fried pork spring rolls; whole grain option","Lumpia wrapper, Pork, Rice"
"Lumpiang Shanghai (Fiesta Portion)",Snack/Lunch,"4 pcs (120g)",448,39,19,25,"Fried pork spring rolls","Lumpia wrapper, Pork"
"Lumpiang Shanghai (Budget Bowl)",Snack/Lunch,"4 pcs (120g)",272,23,11,15,"Fried pork spring rolls","Lumpia wrapper, Pork"
"Lumpiang Gulay (Small Serving)",Snack/Lunch,"2 pcs (120g)",195,22,4,7,"Vegetable spring rolls","Gulay, Lumpia wrapper"
"Lumpiang Gulay (Large Serving)",Snack/Lunch,"2 pcs (120g)",325,37,7,12,"Vegetable spring rolls","Gulay, Lumpia wrapper"
"Lumpiang Gulay (Spicy Variant)",Snack/Lunch,"2 pcs (120g)",260,30,6,10,"Vegetable spring rolls; spicy","Gulay, Lumpia wrapper"
"Lumpiang Gulay (Low-Sodium)",Snack/Lunch,"2 pcs (120g)",260,30,6,10,"Vegetable spring rolls; reduced salt","Gulay, Lumpia wrapper"
"Lumpiang Gulay (With Brown Rice)",Snack/Lunch,"2 pcs (120g)",273,37,6,10,"Vegetable spring rolls; whole grain option","Gulay, Lumpia wrapper, Rice"
"Lumpiang Gulay (Fiesta Portion)",Snack/Lunch,"2 pcs (120g)",364,42,8,14,"Vegetable spring rolls","Gulay, Lumpia wrapper"
"Lumpiang Gulay (Budget Bowl)",Snack/Lunch,"2 pcs (120g)",221,25,5,8,"Vegetable spring rolls","Gulay, Lumpia wrapper"
"Fresh Lumpia (Lumpiang Sariwa) (Small Serving)",Snack/Lunch,"1 roll (200g)",210,27,6,7,"With peanut sauce","Lumpia wrapper, Peanut sauce"
"Fresh Lumpia (Lumpiang Sariwa) (Large Serving)",Snack/Lunch,"1 roll (200g)",350,45,10,12,"With peanut sauce","Lumpia wrapper, Peanut sauce"
"Fresh Lumpia (Lumpiang Sariwa) (Spicy Variant)",Snack/Lunch,"1 roll (200g)",280,36,8,10,"With peanut sauce; spicy","Lumpia wrapper, Peanut sauce; spicy"
"Fresh Lumpia (Lumpiang Sariwa) (Low-Sodium)",Snack/Lunch,"1 roll (200g)",280,36,8,10,"With peanut sauce; reduced salt","Lumpia wrapper, Peanut sauce; reduced salt"
"Fresh Lumpia (Lumpiang Sariwa) (With Brown Rice)",Snack/Lunch,"1 roll (200g)",294,43,8,10,"With peanut sauce; whole grain option","Lumpia wrapper, Peanut sauce; whole grain option, Rice"
"Fresh Lumpia (Lumpiang Sariwa) (Fiesta Portion)",Snack/Lunch,"1 roll (200g)",392,50,11,14,"With peanut sauce","Lumpia wrapper, Peanut sauce"
"Fresh Lumpia (Lumpiang Sariwa) (Budget Bowl)",Snack/Lunch,"1 roll (200g)",238,30,6,8,"With peanut sauce","Lumpia wrapper, Peanut sauce"
"Ukoy (Shrimp Fritters) (Small Serving)",Snack,"2 pcs (120g)",225,21,7,12,"Crispy fritters",Shrimp
"Ukoy (Shrimp Fritters) (Large Serving)",Snack,"2 pcs (120g)",375,35,12,20,"Crispy fritters",Shrimp
"Ukoy (Shrimp Fritters) (Spicy Variant)",Snack,"2 pcs (120g)",300,28,10,16,"Crispy fritters; spicy",Shrimp
"Ukoy (Shrimp Fritters) (Low-Sodium)",Snack,"2 pcs (120g)",300,28,10,16,"Crispy fritters; reduced salt",Shrimp
"Ukoy (Shrimp Fritters) (With Brown Rice)",Snack,"2 pcs (120g)",315,35,10,16,"Crispy fritters; whole grain option","Rice, Shrimp"
"Ukoy (Shrimp Fritters) (Fiesta Portion)",Snack,"2 pcs (120g)",420,39,14,22,"Crispy fritters",Shrimp
"Ukoy (Shrimp Fritters) (Budget Bowl)",Snack,"2 pcs (120g)",255,23,8,13,"Crispy fritters",Shrimp
"Okoy Kalabasa (Small Serving)",Snack,"2 pcs (120g)",210,22,6,10,"Squash fritters",Squash
"Okoy Kalabasa (Large Serving)",Snack,"2 pcs (120g)",350,37,10,17,"Squash fritters",Squash
"Okoy Kalabasa (Spicy Variant)",Snack,"2 pcs (120g)",280,30,8,14,"Squash fritters; spicy",Squash
"Okoy Kalabasa (Low-Sodium)",Snack,"2 pcs (120g)",280,30,8,14,"Squash fritters; reduced salt",Squash
"Okoy Kalabasa (With Brown Rice)",Snack,"2 pcs (120g)",294,37,8,14,"Squash fritters; whole grain option","Rice, Squash"
"Okoy Kalabasa (Fiesta Portion)",Snack,"2 pcs (120g)",392,42,11,19,"Squash fritters",Squash
"Okoy Kalabasa (Budget Bowl)",Snack,"2 pcs (120g)",238,25,6,11,"Squash fritters",Squash
"Inihaw na Pusit (Small Serving)",Lunch/Dinner,150g,165,4,21,6,"Grilled squid","Pusit, Squid"
"Inihaw na Pusit (Large Serving)",Lunch/Dinner,150g,275,7,35,10,"Grilled squid","Pusit, Squid"
"Inihaw na Pusit (Spicy Variant)",Lunch/Dinner,150g,220,6,28,8,"Grilled squid; spicy","Pusit, Squid"
"Inihaw na Pusit (Low-Sodium)",Lunch/Dinner,150g,220,6,28,8,"Grilled squid; reduced salt","Pusit, Squid"
"Inihaw na Pusit (With Brown Rice)",Lunch/Dinner,150g,231,12,29,8,"Grilled squid; whole grain option","Pusit, Rice, Squid"
"Inihaw na Pusit (Fiesta Portion)",Lunch/Dinner,150g,308,8,39,11,"Grilled squid","Pusit, Squid"
"Inihaw na Pusit (Budget Bowl)",Lunch/Dinner,150g,187,5,23,6,"Grilled squid","Pusit, Squid"
"Inihaw na Bangus (Small Serving)",Lunch/Dinner,150g,195,0,22,10,"Grilled milkfish","Bangus, Fish"
"Inihaw na Bangus (Large Serving)",Lunch/Dinner,150g,325,0,37,17,"Grilled milkfish","Bangus, Fish"
"Inihaw na Bangus (Spicy Variant)",Lunch/Dinner,150g,260,0,30,14,"Grilled milkfish; spicy","Bangus, Fish"
"Inihaw na Bangus (Low-Sodium)",Lunch/Dinner,150g,260,0,30,14,"Grilled milkfish; reduced salt","Bangus, Fish"
"Inihaw na Bangus (With Brown Rice)",Lunch/Dinner,150g,273,6,31,14,"Grilled milkfish; whole grain option","Bangus, Fish, Rice"
"Inihaw na Bangus (Fiesta Portion)",Lunch/Dinner,150g,364,0,42,19,"Grilled milkfish","Bangus, Fish"
"Inihaw na Bangus (Budget Bowl)",Lunch/Dinner,150g,221,0,25,11,"Grilled milkfish","Bangus, Fish"
"Inihaw na Tilapia (Small Serving)",Lunch/Dinner,150g,180,0,21,9,"Grilled tilapia",Tilapia
"Inihaw na Tilapia (Large Serving)",Lunch/Dinner,150g,300,0,35,15,"Grilled tilapia",Tilapia
"Inihaw na Tilapia (Spicy Variant)",Lunch/Dinner,150g,240,0,28,12,"Grilled tilapia; spicy",Tilapia
"Inihaw na Tilapia (Low-Sodium)",Lunch/Dinner,150g,240,0,28,12,"Grilled tilapia; reduced salt",Tilapia
"Inihaw na Tilapia (With Brown Rice)",Lunch/Dinner,150g,252,6,29,12,"Grilled tilapia; whole grain option","Rice, Tilapia"
"Inihaw na Tilapia (Fiesta Portion)",Lunch/Dinner,150g,336,0,39,16,"Grilled tilapia",Tilapia
"Inihaw na Tilapia (Budget Bowl)",Lunch/Dinner,150g,204,0,23,10,"Grilled tilapia",Tilapia
"Kinilaw na Tanigue (Small Serving)",Lunch/Dinner,150g,165,4,19,6,"Filipino ceviche","Rice, Vegetables"
"Kinilaw na Tanigue (Large Serving)",Lunch/Dinner,150g,275,7,32,10,"Filipino ceviche","Rice, Vegetables"
"Kinilaw na Tanigue (Spicy Variant)",Lunch/Dinner,150g,220,6,26,8,"Filipino ceviche; spicy","Rice, Vegetables"
"Kinilaw na Tanigue (Low-Sodium)",Lunch/Dinner,150g,220,6,26,8,"Filipino ceviche; reduced salt","Rice, Vegetables"
"Kinilaw na Tanigue (With Brown Rice)",Lunch/Dinner,150g,231,12,27,8,"Filipino ceviche; whole grain option",Rice
"Kinilaw na Tanigue (Fiesta Portion)",Lunch/Dinner,150g,308,8,36,11,"Filipino ceviche","Rice, Vegetables"
"Kinilaw na Tanigue (Budget Bowl)",Lunch/Dinner,150g,187,5,22,6,"Filipino ceviche","Rice, Vegetables"
"Kilawing Puso ng Saging (Small Serving)",Lunch/Dinner,"1 cup (200g)",180,12,6,10,"Banana blossom salad in vinegar",Banana
"Kilawing Puso ng Saging (Large Serving)",Lunch/Dinner,"1 cup (200g)",300,20,10,17,"Banana blossom salad in vinegar",Banana
"Kilawing Puso ng Saging (Spicy Variant)",Lunch/Dinner,"1 cup (200g)",240,16,8,14,"Banana blossom salad in vinegar; spicy",Banana
"Kilawing Puso ng Saging (Low-Sodium)",Lunch/Dinner,"1 cup (200g)",240,16,8,14,"Banana blossom salad in vinegar; reduced salt",Banana
"Kilawing Puso ng Saging (With Brown Rice)",Lunch/Dinner,"1 cup (200g)",252,22,8,14,"Banana blossom salad in vinegar; whole grain option","Banana, Rice"
"Kilawing Puso ng Saging (Fiesta Portion)",Lunch/Dinner,"1 cup (200g)",336,22,11,19,"Banana blossom salad in vinegar",Banana
"Kilawing Puso ng Saging (Budget Bowl)",Lunch/Dinner,"1 cup (200g)",204,13,6,11,"Banana blossom salad in vinegar",Banana
"Ginisang Munggo (Small Serving)",Lunch/Dinner,"1 cup (200g)",195,27,12,4,"Mung bean stew","Mung bean"
"Ginisang Munggo (Large Serving)",Lunch/Dinner,"1 cup (200g)",325,45,20,7,"Mung bean stew","Mung bean"
"Ginisang Munggo (Spicy Variant)",Lunch/Dinner,"1 cup (200g)",260,36,16,6,"Mung bean stew; spicy","Mung bean"
"Ginisang Munggo (Low-Sodium)",Lunch/Dinner,"1 cup (200g)",260,36,16,6,"Mung bean stew; reduced salt","Mung bean"
"Ginisang Munggo (With Brown Rice)",Lunch/Dinner,"1 cup (200g)",273,43,16,6,"Mung bean stew; whole grain option","Mung bean, Rice"
"Ginisang Munggo (Fiesta Portion)",Lunch/Dinner,"1 cup (200g)",364,50,22,8,"Mung bean stew","Mung bean"
"Ginisang Munggo (Budget Bowl)",Lunch/Dinner,"1 cup (200g)",221,30,13,5,"Mung bean stew","Mung bean"
"Munggo with Chicharon (Small Serving)",Lunch/Dinner,"1 cup (220g)",240,27,13,7,"With pork cracklings","Chicharo, Chicharon, Mung bean, Pork, Pork cracklings"
"Munggo with Chicharon (Large Serving)",Lunch/Dinner,"1 cup (220g)",400,45,22,12,"With pork cracklings","Chicharo, Chicharon, Mung bean, Pork, Pork cracklings"
"Munggo with Chicharon (Spicy Variant)",Lunch/Dinner,"1 cup (220g)",320,36,18,10,"With pork cracklings; spicy","Chicharo, Chicharon, Mung bean, Pork, Pork cracklings, Pork cracklings; spicy"
"Munggo with Chicharon (Low-Sodium)",Lunch/Dinner,"1 cup (220g)",320,36,18,10,"With pork cracklings; reduced salt","Chicharo, Chicharon, Mung bean, Pork, Pork cracklings, Pork cracklings; reduced salt"
"Munggo with Chicharon (With Brown Rice)",Lunch/Dinner,"1 cup (220g)",336,43,18,10,"With pork cracklings; whole grain option","Chicharo, Chicharon, Mung bean, Pork, Pork cracklings, Pork cracklings; whole grain option, Rice"
"Munggo with Chicharon (Fiesta Portion)",Lunch/Dinner,"1 cup (220g)",448,50,25,14,"With pork cracklings","Chicharo, Chicharon, Mung bean, Pork, Pork cracklings"
"Munggo with Chicharon (Budget Bowl)",Lunch/Dinner,"1 cup (220g)",272,30,15,8,"With pork cracklings","Chicharo, Chicharon, Mung bean, Pork, Pork cracklings"
"Ginisang Ampalaya (Small Serving)",Lunch/Dinner,"1 cup (200g)",135,10,7,6,"Bitter gourd with egg","Bitter gourd, Egg"
"Ginisang Ampalaya (Large Serving)",Lunch/Dinner,"1 cup (200g)",225,17,12,10,"Bitter gourd with egg","Bitter gourd, Egg"
"Ginisang Ampalaya (Spicy Variant)",Lunch/Dinner,"1 cup (200g)",180,14,10,8,"Bitter gourd with egg; spicy","Bitter gourd, Egg, Egg; spicy"
"Ginisang Ampalaya (Low-Sodium)",Lunch/Dinner,"1 cup (200g)",180,14,10,8,"Bitter gourd with egg; reduced salt","Bitter gourd, Egg, Egg; reduced salt"
"Ginisang Ampalaya (With Brown Rice)",Lunch/Dinner,"1 cup (200g)",189,20,10,8,"Bitter gourd with egg; whole grain option","Bitter gourd, Egg, Egg; whole grain option, Rice"
"Ginisang Ampalaya (Fiesta Portion)",Lunch/Dinner,"1 cup (200g)",251,19,14,11,"Bitter gourd with egg","Bitter gourd, Egg"
"Ginisang Ampalaya (Budget Bowl)",Lunch/Dinner,"1 cup (200g)",153,11,8,6,"Bitter gourd with egg","Bitter gourd, Egg"
"Chopsuey (Small Serving)",Lunch/Dinner,"1 cup (200g)",165,16,7,6,"Stir-fried mixed vegetables",Vegetables
"Chopsuey (Large Serving)",Lunch/Dinner,"1 cup (200g)",275,27,12,10,"Stir-fried mixed vegetables",Vegetables
"Chopsuey (Spicy Variant)",Lunch/Dinner,"1 cup (200g)",220,22,10,8,"Stir-fried mixed vegetables; spicy",Vegetables
"Chopsuey (Low-Sodium)",Lunch/Dinner,"1 cup (200g)",220,22,10,8,"Stir-fried mixed vegetables; reduced salt",Vegetables
"Chopsuey (With Brown Rice)",Lunch/Dinner,"1 cup (200g)",231,29,10,8,"Stir-fried mixed vegetables; whole grain option","Rice, Vegetables"
